Year,Game #,Date,Opponent,Score BG,Score Font,Rank BG,Rank Font
2019-20,NC5,11/27/19,vs. Iowa State,,,,
2019-20,NC6,11/28/19,vs. North Carolina,,,,
2019-20,nc7,11/29/19,vs. Gonzaga,,,,
2019-20,NC8,12/3/19,at Louisville,,,,
2019-20,g1,12/6/19,Iowa,,,,
2019-20,g2,12/11/19,at Illinois,,,,
2019-20,NC9,12/14/19,Oregon,,,,
2019-20,nc10,12/21/19,Presbyterian,,,,
2019-20,nc11,12/29/19,UMass Lowell,,,,
2019-20,g3,1/5/20,at Michigan State,,,,
2019-20,g4,1/9/20,Purdue,,,,
2019-20,g5,1/12/20,at Minnesota,,,,
2019-20,g6,1/17/20,at Iowa,,,,
2019-20,g7,1/22/20,Penn State,,,,
2019-20,g8,1/25/20,Illinois,,,,
2019-20,g9,1/28/20,at Nebraska,,,,
2019-20,g10,2/1/20,vs. Rutgers,,,,
2019-20,g11,2/4/20,Ohio State,,,,
2019-20,g12,2/8/20,Michigan State,,,,
2019-20,g13,2/12/20,at Northwestern,,,,
2019-20,g14,2/16/20,Indiana,,,,
2019-20,g15,2/19/20,at Rutgers,,,,
2019-20,g16,2/22/20,at Purdue,,,,
2019-20,g17,2/27/20,Wisconsin,,,,
2019-20,g18,3/1/20,at Ohio State,,,,
2019-20,g19,3/5/20,Nebraska,,,,
2019-20,g20,3/8/20,at Maryland,,,,
2020-21,nc1,11/25/20,Bowling Green,,,,
2020-21,nc2,11/29/20,Oakland,,,,
2020-21,nc3,12/2/20,Ball State,,,,
2020-21,nc4,12/6/20,Central Florida,,,,
2020-21,nc5,12/9/20,Toledo,,,,
2020-21,g1,12/13/20,Penn State,,,,
2020-21,g2,12/25/20,at Nebraska,,,,
2020-21,g3,12/31/20,at Maryland,,,,
2020-21,g4,1/3/21,Northwestern,,,,
2020-21,g5,1/6/21,Minnesota,,,,
2020-21,g6,1/12/21,Wisconsin,,,,
2020-21,g7,1/16/21,at Minnesota,,,,
2020-21,g8,1/19/21,Maryland,,,,
2020-21,g9,1/22/21,at Purdue,,,,
